Date,From,To
2017-09-03,ORD,ZRH
2017-08-25,ZRH,ORD
2017-08-25,TXL,ZRH
2017-08-19,ZRH,TXL
2017-08-17,LSZK,LSZK
2017-08-16,PMI,ZRH
2017-08-12,ZRH,PMI
2017-07-21,BOD,BSL
2017-07-13,BSL,BOD
2017-07-10,SPU,BSL
2017-06-27,BSL,SPU
2017-06-22,LSZK,LSZK
2017-06-22,LSZK,LSZK
2017-06-22,LSZK,LSZK
2017-06-09,LSZK,LSZK
2017-06-09,LSZK,LSZK
2017-05-29,RIX,HEL
2017-05-29,HEL,ZRH
2017-05-24,ZRH,HEL
2017-05-14,IST,ZRH
2017-05-13,ICN,IST
2017-05-10,CJU,PUS
2017-05-07,PVG,CJU
2017-05-04,XIY,PVG
2017-04-27,FNJ,PEK
2017-04-27,PEK,TYN
2017-04-15,IST,PEK
2017-04-14,ZRH,IST
2017-03-12,LIS,ZRH
2017-03-11,SID,LIS
2017-03-03,ZRH,LIS
2017-03-03,LIS,SID
2017-01-01,SFO,ZRH
2016-12-23,SJD,SFO
2016-12-17,LAX,SJD
2016-12-16,ZRH,LAX
2016-09-30,ALA,IST
2016-09-30,IST,ZRH
2016-09-22,OSS,FRU
2016-09-17,UGC,TAS
2016-09-14,MYP,ASB
2016-09-07,IST,TAS
2016-09-07,ZRH,BEG
2016-09-07,BEG,IST
2016-09-06,IBZ,BSL
2016-09-01,BSL,IBZ
2016-08-19,LSZK,LSZK
2016-08-12,LSZK,LSZK
2016-08-08,ZRH,LSZK
2016-07-14,LSGR,LSGR
2016-07-14,LSGR,LSGR
2016-07-08,LSZK,LSZK
2016-07-08,LSZK,LSZK
2016-05-21,LSZK,LSZK
2016-05-21,LSZK,LSZK
2016-05-21,LSZK,LSZK
2016-05-20,LSZK,LSZK
2016-05-20,LSZK,LSZK
2016-05-09,DUB,ZRH
2016-05-03,ZRH,DUB
2016-04-30,LSZK,LSZK
2016-04-30,LSZK,LSZK
2016-04-30,LSZK,LSZK
2016-04-30,LSZK,LSZK
2016-04-29,LSZK,LSZK
2016-04-28,LSZK,LSZK
2016-04-28,LSZK,LSZK
2016-03-13,ATH,ZRH
2016-03-11,JTR,ATH
2016-03-06,JMK,ATH
2016-03-06,ATH,JTR
2016-03-03,ATH,JMK
2016-03-03,ZRH,ATH
2016-01-02,IST,ZRH
2015-12-31,SFO,IST
2015-12-23,ZRH,IST
2015-12-23,IST,SFO
2015-11-02,FRA,ZRH
2015-11-01,ORD,FRA
2015-10-30,ZRH,ORD
2015-10-02,IST,ZRH
2015-10-01,CPT,JNB
2015-10-01,JNB,IST
2015-09-17,SWP,SWP
2015-08-04,IST,JNB
2015-08-04,JNB,CPT
2015-08-03,ZRH,IST
2015-07-27,LSZO,LSZO
2015-07-24,LSZO,LSZO
2015-07-24,LSZO,LSZO
2015-07-24,LSZO,LSZO
2015-07-05,LSZP,LSZP
2015-07-05,LSZP,LSZP
2015-07-04,LSZP,LSZP
2015-07-04,LSZP,LSZP
2015-06-19,ZHI,ZHI
2015-06-19,ZHI,ZHI
2015-06-19,ZHI,ZHI
2015-06-19,ZHI,ZHI
2015-06-19,ZHI,ZHI
2015-06-19,ZHI,ZHI
2015-06-18,ZHI,ZHI
2015-06-18,ZHI,ZHI
2015-06-18,ZHI,ZHI
2015-06-18,ZHI,ZHI
2015-06-12,LSZK,LSZK
2015-06-05,LSZK,LSZK
2015-06-05,LSZK,LSZK
2015-06-05,LSZK,LSZK
2015-05-25,ZIN,ZIN
2015-05-25,ZIN,ZIN
2015-05-24,LSZW,LSZW
2015-05-24,LSZW,LSZW
2015-05-24,LSZW,LSZW
2015-05-24,LSZW,LSZW
2015-05-24,LSZW,LSZW
2015-05-22,LSZK,LSZK
2015-05-15,JFK,ZRH
2015-05-15,SFO,JFK
2015-05-13,MSP,SFO
2015-05-03,ZRH,AMS
2015-05-03,AMS,ORD
2015-04-24,LSZK,LSZK
2015-04-24,LSZK,LSZK
2015-04-21,LSZK,LSZK
2015-04-14,LSZK,LSZK
2015-04-14,LSZK,LSZK
2015-04-09,LSZK,LSZK
2015-04-09,LSZK,LSZK
2015-04-09,LSZK,LSZK
2015-04-07,LSZK,LSZK
2015-04-07,LSZK,LSZK
2015-04-06,PRG,ZRH
2015-04-03,ZRH,PRG
2015-01-09,KUL,DXB
2015-01-09,DXB,ZRH
2015-01-07,RGN,KUL
2015-01-06,NYU,RGN
2015-01-05,MDL,NYU
2015-01-03,HEH,MDL
2015-01-02,RGN,HEH
2015-01-01,KUL,RGN
2014-12-29,LGK,KUL
2014-12-26,PEN,LGK
2014-12-24,KUL,PEN
2014-12-22,DXB,KUL
2014-12-19,MCT,DXB
2014-12-15,DXB,MCT
2014-12-14,ZRH,DXB
2014-11-30,STR,ZRH
2014-11-28,ZRH,STR
2014-11-02,ZJI,ZJI
2014-11-02,ZJI,ZJI
2014-11-01,ZJI,ZJI
2014-11-01,ZJI,ZJI
2014-11-01,ZJI,ZJI
2014-10-25,BZE,MIA
2014-10-25,MIA,ZRH
2014-10-16 11:15:00,SPR,SPR
2014-10-16,SPR,CYD
2014-10-13,IAH,BZE
2014-10-13,BZE,SPR
2014-10-12,SBA,SFO
2014-10-12,SFO,IAH
2014-10-08,LAS,LAX
2014-10-08,LAX,SBA
2014-10-07,LAS,JGC
2014-10-07,JGC,LAS
2014-09-24,JFK,SFO
2014-09-22,ZRH,JFK
2014-09-14,LSZK,LSZK
2014-09-14,LSZK,LSZK
2014-09-05,LSZK,LSZK
2014-09-02,LSZK,LSZK
2014-08-30,LSZK,LSZK
2014-08-30,LSZK,LSZK
2014-08-30,LSZK,LSZK
2014-08-28,LSZK,LSZK
2014-08-28,LSZK,LSZK
2014-08-28,LSZK,LSZK
2014-08-05,LSZK,LSZK
2014-08-05,LSZK,LSZK
2014-07-24,LSZK,LSZK
2014-07-04,LSZK,LSZK
2014-07-04,LSZK,LSZK
2014-07-04,LSZK,LSZK
2014-07-04,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-07-03,LSZK,LSZK
2014-06-08,LSZK,LSZK
2014-06-08,LSZK,LSZK
2014-06-06,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-25,LSZK,LSZK
2014-05-24,LSZK,LSZK
2014-05-24,LSZK,LSZK
2014-05-24,LSZK,LSZK
2014-05-24,LSZK,LSZK
2014-05-21,LSZK,LSZK
2014-05-21,LSZK,LSZK
2014-05-21,LSZK,LSZK
2014-05-08,LSZK,LSZK
2014-05-08,LSZK,LSZK
2014-05-08,LSZK,LSZK
2014-05-08,LSZK,LSZK
2014-05-06,LSZK,LSZK
2014-05-06,LSZK,LSZK
2014-04-24,LSZK,LSZK
2014-04-24,LSZK,LSZK
2014-04-24,LSZK,LSZK
2014-04-24,LSZK,LSZK
2014-04-21,NCE,ZRH
2014-04-18,ZRH,NCE
2014-04-15,LSZK,LSZK
2014-04-15,LSZK,LSZK
2014-04-11,LSZK,LSZK
2014-04-11,LSZK,LSZK
2014-04-11,LSZK,LSZK
2014-04-01,LSZK,LSZK
2014-04-01,LSZK,LSZK
2014-04-01,LSZK,LSZK
2014-01-07,MIA,ATL
2014-01-07,ATL,ZRH
2013-12-27,ZRH,ATL
2013-12-27,ATL,CVG
2013-10-24,LSZK,LSZK
2013-10-24,LSZK,LSZK
2013-10-22,LSZK,LSZK
2013-10-22,LSZK,LSZK
2013-10-18,SFO,ATL
2013-10-18,ATL,ZRH
2013-10-16,STL,SFO
2013-10-09,SFO,STL
2013-09-27,ZRH,ATL
2013-09-27,ATL,SFO
2013-09-24,LSZK,LSZK
2013-09-06,LSZK,LSZK
2013-09-06,LSZK,LSZK
2013-09-05,LSZK,LSZK
2013-07-11,LSZK,LSZK
2013-07-11,LSZK,LSZK
2013-07-11,LSZK,LSZK
2013-07-11,LSZK,LSZK
2013-06-22,LSZK,LSZK
2013-06-22,LSZK,LSZK
2013-06-22,LSZK,LSZK
2013-06-13,LSZK,LSZK
2013-06-13,LSZK,LSZK
2013-06-09,ZHI,ZHI
2013-06-09,ZHI,ZHI
2013-06-08,MLA,ZRH
2013-06-01,ZRH,MLA
2013-05-09,LSGR,LSGR
2013-04-13,MAD,ZRH
2013-04-12,GIG,MAD
2013-04-10,CUZ,LIM
2013-04-10,LIM,GIG
2013-04-07,LPB,CUZ
2013-04-06,UYU,LPB
2013-04-02,LPB,UYU
2013-03-27,LIM,CUZ
2013-03-26,GIG,LIM
2013-03-24,ZRH,MAD
2013-03-24,MAD,GIG
2013-03-18,LGW,ZRH
2013-03-14,ZRH,LGW
2012-11-24,LSGR,LSGR
2012-10-06,LSGR,LSGR
2012-09-15,LSGR,LSGR
2012-09-15,LSGR,LSGR
2012-08-27,LSGR,LSGR
2012-08-27,LSGR,LSGR
2012-08-27,LSGR,LSGR
2012-08-27,LSGR,LSGR
2012-08-18,LSGR,LSGR
2012-08-18,LSGR,LSGR
2012-08-18,LSGR,LSGR
2012-08-18,LSGR,LSGR
2012-08-18,LSGR,LSGR
2012-08-17,LSGR,LSGR
2012-08-17,LSGR,LSGR
2012-08-17,LSGR,LSGR
2012-08-17,LSGR,LSGR
2012-08-17,LSGR,LSGR
2012-08-13,LSGR,LSGR
2012-08-13,LSGR,LSGR
2012-08-13,LSGR,LSGR
2012-08-13,LSGR,LSGR
2012-08-12,FRA,ZRH
2012-08-11,DPS,SIN
2012-08-11,SIN,FRA
2012-08-07,CNS,BNE
2012-08-07,BNE,DPS
2012-07-28,SYD,BNE
2012-07-27,ASP,SYD
2012-07-22,PER,ASP
2012-07-17,SIN,PER
2012-07-14,ZRH,FRA
2012-07-14,FRA,SIN
2012-07-10,LSGR,LSGR
2012-07-10,LSGR,LSGR
2012-07-10,LSGR,LSGR
2012-07-04,LSGR,LSGR
2012-07-04,LSGR,LSGR
2012-07-04,LSGR,LSGR
2012-07-04,LSGR,LSGR
2012-06-30,LSGR,LSGR
2012-06-30,LSGR,LSGR
2012-06-30,LSGR,LSGR
2012-06-30,LSGR,LSGR
2012-06-29,LSGR,LSGR
2012-06-29,LSGR,LSGR
2012-06-29,LSGR,LSGR
2012-06-29,LSGR,LSGR
2012-06-28,LSGR,LSGR
2012-06-28,LSGR,LSGR
2012-06-28,LSGR,LSGR
2012-06-28,LSGR,LSGR
2012-06-27,LSGR,LSGR
2012-06-27,LSGR,LSGR
2012-06-27,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-06-23,LSGR,LSGR
2012-05-29,LSGR,LSGR
2012-05-29,LSGR,LSGR
2012-05-28,LSGR,LSGR
2012-05-28,LSGR,LSGR
2012-05-26,LSGR,LSGR
2012-05-26,LSGR,LSGR
2012-05-26,LSGR,LSGR
2012-05-24,LSGR,LSGR
2012-05-24,LSGR,LSGR
2012-05-24,LSGR,LSGR
2012-05-24,LSGR,LSGR
2012-05-17,LSGR,LSGR
2012-05-17,LSGR,LSGR
2012-05-17,LSGR,LSGR
2012-03-15,ZIN,ZIN
2012-02-19,SFO,ATL
2012-02-19,ATL,ZRH
2012-02-14,AUS,SFO
2012-02-06,SFO,AUS
2012-01-31,ZRH,ATL
2012-01-31,ATL,SFO
2012-01-26,RAK,BSL
2012-01-21,BSL,RAK
2011-08-28,BKK,DIA
2011-08-28,DIA,ZRH
2011-08-27,HAN,BKK
2011-08-24,HUI,HAN
2011-08-22,CXR,DAD
2011-08-10,LPQ,BKK
2011-08-02,DIA,BKK
2011-08-02,BKK,HAN
2011-08-01,ZRH,DIA
2011-06-27,ARN,ZRH
2011-06-20,ZRH,ARN
2010-11-14,AMS,BSL
2010-11-12,BSL,AMS
2010-09-15,BUD,GVA
2010-09-13,GVA,BUD
2010-09-05,AMM,IST
2010-09-05,IST,GVA
2010-08-27,IST,BEY
2010-08-26,GVA,IST
2010-08-08,LHR,GVA
2010-08-07,SFO,ORD
2010-08-07,ORD,LHR
2010-07-08,JFK,OAK
2010-07-03,OAK,JFK
2010-07-02,SNA,SFO
2010-07-01,OGG,SNA
2010-06-28,HNL,OGG
2010-06-26,KOA,HNL
2010-06-22,SFO,KOA
2010-06-20,GVA,LHR
2010-06-20,LHR,DFW
2010-06-20,DFW,SFO
2010-06-05 17:45:00,LSZJ,LSZJ
2010-05-19,BCN,GVA
2010-05-18,GVA,BCN
2010-02-19,CAI,GVA
2010-02-11,GVA,CAI
2009-07-23,LAX,ZRH
2009-04-19,LAS,LAX
2009-04-17,LAX,LAS
2009-03-30,JFK,LAX
2009-03-30,LAX,SBA
2009-03-15,LAX,JFK
2009-03-15,SBA,LAX
2008-12-13,MIA,LAX
2008-09-25,ZRH,MIA
2008-09-10,LPA,ZRH
2008-09-01,ZRH,TFS
2008-02-13,LSMD,Priv
2007-11-15,LSMP,Priv
2007-10-27,PMI,ZRH
2007-10-20,ZRH,PMI
2007-03-11,LHR,ZRH
2007-03-09,ZRH,LHR
2006-10-21,LCA,ZRH
2006-10-13,ZRH,LCA
2005-07-15,ZHI,ZHI
2005-07-14,ZHI,ZHI
2005-07-14,ZHI,ZHI
2005-07-14,ZHI,ZHI
2005-07-14,ZHI,ZHI
2005-07-14,ZHI,ZHI
2005-07-13,ZHI,ZHI
2005-07-13,ZHI,ZHI
2005-07-13,ZHI,ZHI
2005-07-13,ZHI,ZHI
2005-07-12,ZHI,ZHI
2005-07-11,ZHI,ZHI
2005-07-11,ZHI,ZHI
2005-07-11,ZHI,ZHI
2005-07-10,ZHI,ZHI
2005-07-10,ZHI,ZHI
2005-07-10,ZHI,ZHI
2005-07-08,ZHI,ZHI
2005-07-08,ZHI,ZHI
2005-07-06,ZHI,ZHI
2005-07-05,ZHI,ZHI
2005-07-05,ZHI,ZHI
2005-07-05,ZHI,ZHI
2005-07-03,ZHI,ZHI
2004-10-01,PMI,ZRH
2004-09-17,ZRH,PMI
2003-10-10,PMI,BCN
2003-10-10,BCN,ZRH
2003-09-27,ZRH,BCN
2003-09-27,BCN,PMI
2002-09-29,CDG,GVA
2002-09-25,GVA,CDG
2002-04-14,THF,BRN
2002-04-11,BRN,THF
2001-10-06,PMI,ZRH
2001-09-22,ZRH,PMI
2000-10-10,HER,ZRH
2000-09-26,ZRH,HER
2000-04-22,LCA,ZRH
2000-04-08,ZRH,LCA
1999-04-24,PMI,ZRH
1999-04-10,ZRH,PMI
1998-04-11,PMI,ZRH
1998-03-28,ZRH,PMI
1997-04-18,FUE,ZRH
1997-04-04,ZRH,FUE
1996-04-20,PMI,ZRH
1996-04-06,ZRH,PMI
1995-04-21,PMI,ZRH
1995-04-10,ZRH,PMI
1994-04-30,PMI,ZRH
1994-04-23,ZRH,PMI
1993-05-29,BRN,QLS
1993-05-29,QLS,BRN
1991-08-29,BRN,LSGE
1991-08-29,LSGE,BRN
